DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-08-12,0.001514791614,4.676935039,0,323904,0,323904,15
2024-08-24,0.0007257148769,2.100319528,0,345524,0,345524,16
2024-08-27,0.0009380160046,2.714669397,0,345536,0,345536,16
2024-08-02,0.002023632609,5.857168629,0,345476,0,345476,16
2024-08-05,0.02984299357,81.30534635,0,367108,0,367108,17
2024-08-06,0.001510607425,4.372019322,0,345524,0,345524,16
2024-08-26,0.001006845066,2.914580531,0,345440,0,345440,16
2024-08-13,0.001040701807,3.212637547,0,323940,0,323940,15
2024-08-22,0.0006900884115,2.282618543,0,302320,0,302320,14
2024-08-25,0.0006422670093,1.858889278,0,345512,0,345512,16
2024-08-16,0.0008608113387,2.657449001,0,323928,0,323928,15
2024-08-31,0.0006319657859,1.829068975,0,345512,0,345512,16
2024-08-23,0.0009381219292,2.896344736,0,323916,0,323916,15
2024-08-29,0.0009131040325,2.819114529,0,323892,0,323892,15
2024-08-03,0.0009871828126,3.048078348,0,323880,0,323880,15
2024-08-07,0.001711961489,5.662296883,0,302344,0,302344,14
2024-08-10,0.0007086113969,2.187615282,0,323916,0,323916,15
2024-08-19,0.0007808852217,2.410662478,0,323928,0,323928,15
2024-08-20,0.0009145881303,2.823678713,0,323892,0,323892,15
2024-08-08,0.002269192012,7.005487707,0,323904,0,323904,15
2024-08-11,0.000738825147,2.281167209,0,323892,0,323892,15
2024-08-14,0.00116571341,3.855971158,0,302320,0,302320,14
2024-08-09,0.001277061662,4.223869704,0,302344,0,302344,14
2024-08-17,0.0006850644782,2.115013947,0,323904,0,323904,15
2024-08-18,0.0004191982133,2.156768812,0,194364,0,194364,9
2024-08-21,0.001280123542,4.234066332,0,302332,0,302332,14
2024-08-28,0.0009608764918,2.781062784,0,345500,0,345500,16
2024-08-30,0.0008707654852,2.520234141,0,345500,0,345500,16
2024-08-01,0.003353901285,8.174220319,0,410312,0,410312,19
2024-08-04,0.002641357447,7.644232287,0,345536,0,345536,16
2024-08-15,0.001524268059,5.041870509,0,302308,0,302308,14
