DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-07-31,0.02554158085,5.325540754,0,4811564,0,4811564,205
2024-07-10,0.2037929537,42.71815972,0,4770872,0,4770872,213
2024-07-12,0.09059220071,17.95206196,0,5295680,0,5295680,213
2024-07-13,0.3535179697,77.40805219,0,4569644,0,4569644,204
2024-07-15,0.4009513861,10.30471285,0,38829276,0,38829276,221
2024-07-19,0.05000191564,11.87017958,0,4212204,0,4212204,188
2024-07-24,0.07582090098,17.54383918,0,4450536,0,4450536,185
2024-07-26,0.1165109384,21.1195053,0,4981836,0,4981836,187
2024-07-11,0.160751499,33.84597585,0,4748364,0,4748364,212
2024-07-14,0.04078517813,9.194452247,0,4435620,0,4435620,198
2024-07-17,0.05078303901,11.56621438,0,4390812,0,4390812,196
2024-07-21,0.005327343586,1.285088565,0,4145412,0,4145412,185
2024-07-25,0.08991678047,21.45833607,0,4189980,0,4189980,187
2024-07-30,0.03352698862,7.437581533,0,4490936,0,4490936,200
2024-07-16,1.23571366,8.626652025,0,69686112,0,69686112,232
2024-07-18,0.02668764718,6.073333571,0,4273472,0,4273472,187
2024-07-22,0.03030783234,7.310359149,0,4145216,0,4145216,185
2024-07-23,0.03443342735,8.217792169,0,4189976,0,4189976,187
2024-07-28,0.0279083405,6.198218752,0,4502536,0,4502536,201
2024-07-09,0.1131016397,22.65432601,0,6109316,0,6109316,212
2024-07-20,0.01731657342,4.199681438,0,4123212,0,4123212,184
2024-07-27,0.02430615605,5.39787173,0,4502880,0,4502880,201
2024-07-29,0.05251582679,11.7165258,0,4482372,0,4482372,200
