DateTime,Total Cost(ETH),Avg Calldata gas price(Gwei),Avg Blob Gas Price(Gwei),Total Calldata Gas Used,Total Blob Gas Used,Total Gas Used(calldata + blob),Transaction Count
2024-08-05,0.02957178306,45.42516598,1.032258065e-09,651000,7995392,8646392,31
2024-08-15,0.006303174278,6.386194799,1e-09,987000,12189696,13176696,47
2024-08-16,0.003538148522,3.744072498,1.044444444e-09,945000,11534336,12479336,45
2024-08-26,0.003918315421,4.240601093,1e-09,924000,11010048,11934048,44
2024-08-30,0.003138342744,3.558211715,1.047619048e-09,882000,10616832,11498832,42
2024-08-09,0.005647865651,5.722254949,1.382978723e-09,987000,12189696,13176696,47
2024-08-03,0.003733237055,4.232695062,1e-09,882000,10354688,11236688,42
2024-08-18,0.00295947392,3.20289384,1.022727273e-09,924000,11403264,12327264,44
2024-08-24,0.003443453681,3.153345848,1.096153846e-09,1092000,13238272,14330272,52
2024-08-06,0.005087823643,6.056932822,6.925e-09,840000,10092544,10932544,40
2024-08-07,0.009119299068,6.481378144,1.149253731e-09,1407000,16908288,18315288,67
2024-08-17,0.00330704312,3.213841698,1e-09,1029000,12451840,13480840,49
2024-08-20,0.003236938442,3.584649414,1.976744186e-09,903000,10878976,11781976,43
2024-08-25,0.002937604897,2.976296743,1e-09,987000,11665408,12652408,47
2024-08-31,0.002526296833,2.934142651,1e-09,861000,10354688,11215688,41
2024-08-12,0.005154550214,6.459336093,1.210526316e-09,798000,9568256,10366256,38
2024-08-19,0.003376458208,3.654175537,1.022727273e-09,924000,11010048,11934048,44
2024-08-23,0.003746371017,3.795715303,1.085106383e-09,987000,12189696,13176696,47
2024-08-02,0.00503620467,6.149212034,1.41025641e-09,819000,9568256,10387256,39
2024-08-10,0.003094665432,3.203587391,1.02173913e-09,966000,11927552,12893552,46
2024-08-21,0.005126177592,5.424526538,1.177777778e-09,945000,11403264,12348264,45
2024-08-08,0.007947055588,7.420219955,1.156862745e-09,1071000,13369344,14440344,51
2024-08-11,0.003049070069,3.629845307,1.05e-09,840000,10092544,10932544,40
2024-08-28,0.003230845036,4.048677819,1.371052632e-08,798000,9699328,10497328,38
2024-08-01,0.007795101406,9.768297487,1.105263158e-09,798000,9961472,10759472,38
2024-08-04,0.00511387166,6.08794244,1e-09,840000,9961472,10801472,40
2024-08-13,0.003640927324,4.44557669,1.41025641e-09,819000,10092544,10911544,39
2024-08-14,0.005684082977,5.307267005,1.117647059e-09,1071000,12976128,14047128,51
2024-08-22,0.003193173859,3.455815852,1.022727273e-09,924000,11403264,12327264,44
2024-08-27,0.003264993164,3.986560628,1e-09,819000,10092544,10911544,39
2024-08-29,0.003990273746,4.042830531,1.042553191e-09,987000,11796480,12783480,47
