"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $0/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x0a6c3a077a6e5e638b8e1e8b1e7c2c76cc7d526ed00597392245c85a0f082ff3","6234792","1719964812","2024-07-03 00:00:12","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000137542328490032","0","","","","0x00930b74"
"0xe52a327104f9df5fa70924660f71653946fab3500265c22375aefd3bb0695dea","6234823","1719965208","2024-07-03 00:06:48","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000116322730314336","0","","","","0x00809a2b"
"0xcf5d5acd302f04256a0cdd482ce95123f7581dfafffad939a1d6fa1315362798","6234854","1719965652","2024-07-03 00:14:12","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000123590398503328","0","","","","0x009a78a7"
"0x2424890c6fb46490a4198fa0ea34b8924c59bd01d98926a7aef71d0ca4717540","6234885","1719966048","2024-07-03 00:20:48","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000091625301944336","0","","","","0x0067f969"
"0x7d991e0452dd7d93e1f576cf01648a2492eafa75d99ece552da837a1ca1fcecd","6234916","1719966468","2024-07-03 00:27:48","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000096007537983104","0","","","","0x0021f6e2"
"0x9f73c90731da9d786c093d4dc775c8b8021e24b3795c3f86c47228ca34ef3b3c","6234947","1719966876","2024-07-03 00:34:36","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000087143529536","0","","","","0x003fb684"
"0x73b345e770c9cdf9ac0b38cd243c3fa27944519b0a34f49409d9710616e963fa","6234978","1719967332","2024-07-03 00:42:12","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.0001096927984992","0","","","","0x0064be64"
"0x771b4bc48b953c803325fa583423a942f5f22af3958cd5fdebae6cb86f96a9d7","6235010","1719967788","2024-07-03 00:49:48","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000113619167920992","0","","","","0x009b2e41"
"0x04373d9cf88bd5baf3317a620ec4d1f5f56634faa40f26b9d88ea22baa7526b3","6235041","1719968184","2024-07-03 00:56:24","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000158858109424","0","","","","0x0031ef31"
"0x0433f738d5fdd0ebc5a28d85443b9bfc3979e3304a50cc6af426b637b5fe0e1f","6235072","1719968604","2024-07-03 01:03:24","0xc891b50ef1ccf20d5dccb3bc5c3ea20f95577483","0xff00000000000000000000000000111551118282","","0","0","0","0.000174587322891328","0","","","","0x000e4fe8"
